instant,date,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_users,hour_interval
3865,2011-06-14,summer,2011,June,22,no,tuesday,yes,1,0.58,0.5455,0.6,0.2239,29,159,188,22 - 23
3866,2011-06-14,summer,2011,June,23,no,tuesday,yes,1,0.56,0.5303,0.68,0.2239,19,91,110,23 - 24
3867,2011-06-15,summer,2011,June,0,no,wednesday,yes,1,0.56,0.5303,0.64,0.3582,8,44,52,0 - 1
3868,2011-06-15,summer,2011,June,1,no,wednesday,yes,1,0.54,0.5152,0.64,0.2836,0,14,14,1 - 2
3869,2011-06-15,summer,2011,June,2,no,wednesday,yes,1,0.52,0.5,0.63,0.2239,0,9,9,2 - 3
3870,2011-06-15,summer,2011,June,3,no,wednesday,yes,1,0.5,0.4848,0.68,0.2537,0,1,1,3 - 4
3871,2011-06-15,summer,2011,June,4,no,wednesday,yes,1,0.5,0.4848,0.63,0.2836,0,4,4,4 - 5
3872,2011-06-15,summer,2011,June,5,no,wednesday,yes,1,0.48,0.4697,0.67,0.2836,1,20,21,5 - 6
3873,2011-06-15,summer,2011,June,6,no,wednesday,yes,1,0.5,0.4848,0.63,0.2537,11,110,121,6 - 7
3874,2011-06-15,summer,2011,June,7,no,wednesday,yes,1,0.54,0.5152,0.6,0.1343,22,348,370,7 - 8
3875,2011-06-15,summer,2011,June,8,no,wednesday,yes,1,0.58,0.5455,0.53,0.1343,53,445,498,8 - 9
3876,2011-06-15,summer,2011,June,9,no,wednesday,yes,1,0.6,0.6212,0.49,0.0,22,185,207,9 - 10
3877,2011-06-15,summer,2011,June,10,no,wednesday,yes,1,0.64,0.6212,0.47,0.1642,27,108,135,10 - 11
3878,2011-06-15,summer,2011,June,11,no,wednesday,yes,1,0.68,0.6364,0.36,0.0,49,115,164,11 - 12
3879,2011-06-15,summer,2011,June,12,no,wednesday,yes,1,0.7,0.6364,0.34,0.2239,33,178,211,12 - 13
3880,2011-06-15,summer,2011,June,13,no,wednesday,yes,1,0.74,0.6515,0.28,0.2836,43,146,189,13 - 14
3881,2011-06-15,summer,2011,June,14,no,wednesday,yes,1,0.74,0.6515,0.28,0.0,50,128,178,14 - 15
3882,2011-06-15,summer,2011,June,15,no,wednesday,yes,1,0.76,0.6667,0.27,0.0,33,131,164,15 - 16
3883,2011-06-15,summer,2011,June,16,no,wednesday,yes,1,0.76,0.6667,0.27,0.1343,47,265,312,16 - 17
3884,2011-06-15,summer,2011,June,17,no,wednesday,yes,1,0.74,0.6515,0.28,0.1045,83,555,638,17 - 18
3885,2011-06-15,summer,2011,June,18,no,wednesday,yes,1,0.72,0.6515,0.32,0.1343,80,527,607,18 - 19
3886,2011-06-15,summer,2011,June,19,no,wednesday,yes,1,0.7,0.6364,0.37,0.2836,54,362,416,19 - 20
3887,2011-06-15,summer,2011,June,20,no,wednesday,yes,1,0.66,0.6212,0.44,0.1642,57,273,330,20 - 21
3888,2011-06-15,summer,2011,June,21,no,wednesday,yes,1,0.64,0.6212,0.47,0.2239,48,209,257,21 - 22
3889,2011-06-15,summer,2011,June,22,no,wednesday,yes,1,0.62,0.6212,0.5,0.1045,31,144,175,22 - 23
3890,2011-06-15,summer,2011,June,23,no,wednesday,yes,1,0.62,0.6212,0.53,0.0,17,90,107,23 - 24
3891,2011-06-16,summer,2011,June,0,no,thursday,yes,1,0.6,0.6212,0.56,0.1045,9,38,47,0 - 1
3892,2011-06-16,summer,2011,June,1,no,thursday,yes,1,0.58,0.5455,0.6,0.0,4,13,17,1 - 2
3893,2011-06-16,summer,2011,June,2,no,thursday,yes,1,0.6,0.6212,0.56,0.0896,1,4,5,2 - 3
3894,2011-06-16,summer,2011,June,3,no,thursday,yes,2,0.56,0.5303,0.73,0.0896,0,4,4,3 - 4
3895,2011-06-16,summer,2011,June,4,no,thursday,yes,2,0.56,0.5303,0.68,0.1045,0,6,6,4 - 5
3896,2011-06-16,summer,2011,June,5,no,thursday,yes,1,0.6,0.6061,0.64,0.194,7,18,25,5 - 6
3897,2011-06-16,summer,2011,June,6,no,thursday,yes,3,0.58,0.5455,0.73,0.1642,8,104,112,6 - 7
3898,2011-06-16,summer,2011,June,7,no,thursday,yes,3,0.56,0.5303,0.78,0.1642,16,172,188,7 - 8
3899,2011-06-16,summer,2011,June,8,no,thursday,yes,2,0.6,0.5909,0.69,0.1343,24,364,388,8 - 9
3900,2011-06-16,summer,2011,June,9,no,thursday,yes,2,0.62,0.6061,0.65,0.194,29,232,261,9 - 10
3901,2011-06-16,summer,2011,June,10,no,thursday,yes,2,0.66,0.6212,0.61,0.2537,18,103,121,10 - 11
3902,2011-06-16,summer,2011,June,11,no,thursday,yes,2,0.68,0.6364,0.61,0.2985,33,117,150,11 - 12
3903,2011-06-16,summer,2011,June,12,no,thursday,yes,1,0.72,0.6667,0.54,0.3881,41,165,206,12 - 13
3904,2011-06-16,summer,2011,June,13,no,thursday,yes,2,0.72,0.6667,0.54,0.2537,37,114,151,13 - 14
3905,2011-06-16,summer,2011,June,14,no,thursday,yes,2,0.72,0.6667,0.54,0.3284,39,114,153,14 - 15
3906,2011-06-16,summer,2011,June,15,no,thursday,yes,2,0.7,0.6515,0.61,0.2985,32,127,159,15 - 16
3907,2011-06-16,summer,2011,June,16,no,thursday,yes,3,0.66,0.6212,0.69,0.194,36,258,294,16 - 17
3908,2011-06-16,summer,2011,June,17,no,thursday,yes,2,0.64,0.5909,0.78,0.1045,42,230,272,17 - 18
3909,2011-06-16,summer,2011,June,18,no,thursday,yes,1,0.64,0.5758,0.83,0.2239,26,299,325,18 - 19
3910,2011-06-16,summer,2011,June,19,no,thursday,yes,1,0.62,0.5758,0.83,0.2836,58,269,327,19 - 20
3911,2011-06-16,summer,2011,June,20,no,thursday,yes,1,0.62,0.5758,0.83,0.3284,25,176,201,20 - 21
3912,2011-06-16,summer,2011,June,21,no,thursday,yes,3,0.62,0.5758,0.83,0.2537,34,154,188,21 - 22
3913,2011-06-16,summer,2011,June,22,no,thursday,yes,3,0.62,0.5758,0.83,0.2537,24,127,151,22 - 23
3914,2011-06-16,summer,2011,June,23,no,thursday,yes,3,0.6,0.5606,0.83,0.2537,2,14,16,23 - 24
3915,2011-06-17,summer,2011,June,0,no,friday,yes,1,0.56,0.5303,0.88,0.0896,3,21,24,0 - 1
3916,2011-06-17,summer,2011,June,1,no,friday,yes,1,0.56,0.5303,0.94,0.1343,4,19,23,1 - 2
3917,2011-06-17,summer,2011,June,2,no,friday,yes,1,0.56,0.5303,0.94,0.1045,2,11,13,2 - 3
3918,2011-06-17,summer,2011,June,3,no,friday,yes,1,0.56,0.5303,0.94,0.1045,1,5,6,3 - 4
3919,2011-06-17,summer,2011,June,4,no,friday,yes,1,0.54,0.5152,0.94,0.1343,1,5,6,4 - 5
3920,2011-06-17,summer,2011,June,5,no,friday,yes,1,0.54,0.5152,1.0,0.0,1,12,13,5 - 6
3921,2011-06-17,summer,2011,June,6,no,friday,yes,1,0.56,0.5303,0.94,0.0,8,89,97,6 - 7
3922,2011-06-17,summer,2011,June,7,no,friday,yes,1,0.6,0.5606,0.83,0.0,25,225,250,7 - 8
3923,2011-06-17,summer,2011,June,8,no,friday,yes,2,0.6,0.5606,0.83,0.0,28,426,454,8 - 9
3924,2011-06-17,summer,2011,June,9,no,friday,yes,1,0.7,0.6515,0.58,0.194,28,196,224,9 - 10
3925,2011-06-17,summer,2011,June,10,no,friday,yes,1,0.7,0.6515,0.58,0.194,44,126,170,10 - 11
3926,2011-06-17,summer,2011,June,11,no,friday,yes,1,0.68,0.6364,0.69,0.2537,43,138,181,11 - 12
3927,2011-06-17,summer,2011,June,12,no,friday,yes,1,0.7,0.6515,0.65,0.2537,49,194,243,12 - 13
3928,2011-06-17,summer,2011,June,13,no,friday,yes,1,0.74,0.6818,0.62,0.2836,48,156,204,13 - 14
3929,2011-06-17,summer,2011,June,14,no,friday,yes,1,0.76,0.697,0.52,0.194,73,142,215,14 - 15
3930,2011-06-17,summer,2011,June,15,no,friday,yes,1,0.78,0.697,0.43,0.2239,62,181,243,15 - 16
3931,2011-06-17,summer,2011,June,16,no,friday,yes,1,0.76,0.6818,0.45,0.1642,69,286,355,16 - 17
3932,2011-06-17,summer,2011,June,17,no,friday,yes,3,0.76,0.6818,0.4,0.194,85,467,552,17 - 18
3933,2011-06-17,summer,2011,June,18,no,friday,yes,3,0.76,0.6818,0.4,0.194,62,388,450,18 - 19
3934,2011-06-17,summer,2011,June,19,no,friday,yes,3,0.64,0.5758,0.83,0.2537,53,275,328,19 - 20
3935,2011-06-17,summer,2011,June,20,no,friday,yes,1,0.64,0.5909,0.78,0.1045,40,192,232,20 - 21
3936,2011-06-17,summer,2011,June,21,no,friday,yes,1,0.64,0.5909,0.78,0.0896,49,159,208,21 - 22
3937,2011-06-17,summer,2011,June,22,no,friday,yes,1,0.62,0.5606,0.88,0.1343,48,127,175,22 - 23
3938,2011-06-17,summer,2011,June,23,no,friday,yes,1,0.62,0.5758,0.83,0.1343,37,141,178,23 - 24
3939,2011-06-18,summer,2011,June,0,no,saturday,no,1,0.62,0.5606,0.88,0.1343,21,83,104,0 - 1
3940,2011-06-18,summer,2011,June,1,no,saturday,no,1,0.62,0.5758,0.83,0.1045,15,80,95,1 - 2
3941,2011-06-18,summer,2011,June,2,no,saturday,no,1,0.6,0.5455,0.88,0.0,16,37,53,2 - 3
3942,2011-06-18,summer,2011,June,3,no,saturday,no,1,0.6,0.5455,0.88,0.0896,4,16,20,3 - 4
3943,2011-06-18,summer,2011,June,4,no,saturday,no,1,0.6,0.5455,0.88,0.0896,1,4,5,4 - 5
3944,2011-06-18,summer,2011,June,5,no,saturday,no,1,0.62,0.5758,0.83,0.0,1,6,7,5 - 6
3945,2011-06-18,summer,2011,June,6,no,saturday,no,1,0.62,0.5758,0.83,0.1045,9,18,27,6 - 7
3946,2011-06-18,summer,2011,June,7,no,saturday,no,1,0.64,0.5909,0.78,0.1343,12,45,57,7 - 8
3947,2011-06-18,summer,2011,June,8,no,saturday,no,1,0.66,0.6061,0.78,0.0896,28,103,131,8 - 9
3948,2011-06-18,summer,2011,June,9,no,saturday,no,1,0.7,0.6515,0.61,0.2239,62,156,218,9 - 10
3949,2011-06-18,summer,2011,June,10,no,saturday,no,1,0.72,0.6818,0.62,0.194,68,176,244,10 - 11
3950,2011-06-18,summer,2011,June,11,no,saturday,no,1,0.72,0.6818,0.62,0.1343,134,270,404,11 - 12
3951,2011-06-18,summer,2011,June,12,no,saturday,no,1,0.74,0.697,0.66,0.0896,162,258,420,12 - 13
3952,2011-06-18,summer,2011,June,13,no,saturday,no,1,0.76,0.697,0.55,0.0,135,192,327,13 - 14
3953,2011-06-18,summer,2011,June,14,no,saturday,no,2,0.8,0.7273,0.46,0.2836,138,196,334,14 - 15
3954,2011-06-18,summer,2011,June,15,no,saturday,no,2,0.82,0.7576,0.46,0.1343,153,214,367,15 - 16
3955,2011-06-18,summer,2011,June,16,no,saturday,no,2,0.76,0.697,0.52,0.2239,193,275,468,16 - 17
3956,2011-06-18,summer,2011,June,17,no,saturday,no,2,0.76,0.6818,0.48,0.1642,210,239,449,17 - 18
3957,2011-06-18,summer,2011,June,18,no,saturday,no,2,0.74,0.6818,0.55,0.194,118,263,381,18 - 19
3958,2011-06-18,summer,2011,June,19,no,saturday,no,2,0.74,0.6667,0.51,0.1045,99,227,326,19 - 20
3959,2011-06-18,summer,2011,June,20,no,saturday,no,2,0.72,0.6667,0.58,0.1343,61,127,188,20 - 21
3960,2011-06-18,summer,2011,June,21,no,saturday,no,2,0.72,0.6818,0.66,0.1045,58,125,183,21 - 22
3961,2011-06-18,summer,2011,June,22,no,saturday,no,2,0.72,0.6818,0.62,0.1343,56,105,161,22 - 23
3962,2011-06-18,summer,2011,June,23,no,saturday,no,2,0.72,0.6818,0.62,0.0,53,97,150,23 - 24
3963,2011-06-19,summer,2011,June,0,no,sunday,no,1,0.7,0.6515,0.65,0.0,18,71,89,0 - 1
3964,2011-06-19,summer,2011,June,1,no,sunday,no,2,0.7,0.6515,0.65,0.0896,17,59,76,1 - 2
3965,2011-06-19,summer,2011,June,2,no,sunday,no,1,0.68,0.6364,0.74,0.0896,13,59,72,2 - 3
3966,2011-06-19,summer,2011,June,3,no,sunday,no,2,0.66,0.6061,0.78,0.1343,14,16,30,3 - 4
3967,2011-06-19,summer,2011,June,4,no,sunday,no,2,0.66,0.6212,0.74,0.1343,7,10,17,4 - 5
3968,2011-06-19,summer,2011,June,5,no,sunday,no,2,0.66,0.6061,0.78,0.0,7,12,19,5 - 6
3969,2011-06-19,summer,2011,June,6,no,sunday,no,2,0.66,0.6061,0.78,0.1642,11,22,33,6 - 7
3970,2011-06-19,summer,2011,June,7,no,sunday,no,2,0.66,0.6061,0.78,0.1642,35,36,71,7 - 8
3971,2011-06-19,summer,2011,June,8,no,sunday,no,3,0.68,0.6364,0.74,0.1045,25,59,84,8 - 9
3972,2011-06-19,summer,2011,June,9,no,sunday,no,2,0.68,0.6364,0.74,0.1045,58,111,169,9 - 10
3973,2011-06-19,summer,2011,June,10,no,sunday,no,2,0.7,0.6515,0.61,0.1045,86,158,244,10 - 11
3974,2011-06-19,summer,2011,June,11,no,sunday,no,2,0.72,0.6667,0.58,0.0896,141,236,377,11 - 12
3975,2011-06-19,summer,2011,June,12,no,sunday,no,2,0.74,0.6818,0.55,0.0896,141,255,396,12 - 13
3976,2011-06-19,summer,2011,June,13,no,sunday,no,2,0.74,0.6667,0.51,0.0,149,214,363,13 - 14
3977,2011-06-19,summer,2011,June,14,no,sunday,no,3,0.74,0.6818,0.58,0.1045,124,193,317,14 - 15
3978,2011-06-19,summer,2011,June,15,no,sunday,no,2,0.74,0.6818,0.55,0.1045,146,216,362,15 - 16
3979,2011-06-19,summer,2011,June,16,no,sunday,no,2,0.76,0.6818,0.48,0.0,121,257,378,16 - 17
3980,2011-06-19,summer,2011,June,17,no,sunday,no,1,0.74,0.6667,0.51,0.0,159,238,397,17 - 18
3981,2011-06-19,summer,2011,June,18,no,sunday,no,2,0.74,0.6818,0.58,0.0896,78,218,296,18 - 19
3982,2011-06-19,summer,2011,June,19,no,sunday,no,1,0.72,0.6818,0.62,0.1343,94,217,311,19 - 20
3983,2011-06-19,summer,2011,June,20,no,sunday,no,1,0.7,0.6515,0.7,0.194,86,146,232,20 - 21
3984,2011-06-19,summer,2011,June,21,no,sunday,no,1,0.68,0.6364,0.79,0.1343,57,110,167,21 - 22
3985,2011-06-19,summer,2011,June,22,no,sunday,no,1,0.66,0.6061,0.78,0.2239,38,114,152,22 - 23
3986,2011-06-19,summer,2011,June,23,no,sunday,no,1,0.66,0.6061,0.78,0.194,14,78,92,23 - 24
3987,2011-06-20,summer,2011,June,0,no,monday,yes,1,0.66,0.6061,0.83,0.1642,7,19,26,0 - 1
3988,2011-06-20,summer,2011,June,1,no,monday,yes,1,0.64,0.5758,0.89,0.0896,9,3,12,1 - 2
3989,2011-06-20,summer,2011,June,2,no,monday,yes,1,0.64,0.5758,0.89,0.0896,2,0,2,2 - 3
3990,2011-06-20,summer,2011,June,3,no,monday,yes,3,0.64,0.5758,0.89,0.0,1,0,1,3 - 4
3991,2011-06-20,summer,2011,June,4,no,monday,yes,3,0.62,0.5606,0.88,0.1642,1,2,3,4 - 5
3992,2011-06-20,summer,2011,June,5,no,monday,yes,3,0.62,0.5758,0.83,0.1343,0,3,3,5 - 6
3993,2011-06-20,summer,2011,June,6,no,monday,yes,3,0.6,0.5758,0.78,0.1343,1,25,26,6 - 7
3994,2011-06-20,summer,2011,June,7,no,monday,yes,3,0.56,0.5303,0.88,0.194,0,46,46,7 - 8
3995,2011-06-20,summer,2011,June,8,no,monday,yes,3,0.56,0.5303,0.83,0.194,12,209,221,8 - 9
3996,2011-06-20,summer,2011,June,9,no,monday,yes,2,0.6,0.5758,0.78,0.2537,19,200,219,9 - 10
3997,2011-06-20,summer,2011,June,10,no,monday,yes,2,0.6,0.5758,0.78,0.2537,33,58,91,10 - 11
3998,2011-06-20,summer,2011,June,11,no,monday,yes,2,0.6,0.5758,0.78,0.1045,27,67,94,11 - 12
3999,2011-06-20,summer,2011,June,12,no,monday,yes,2,0.62,0.6061,0.69,0.1045,33,129,162,12 - 13
4000,2011-06-20,summer,2011,June,13,no,monday,yes,1,0.64,0.6061,0.65,0.1045,50,129,179,13 - 14
4001,2011-06-20,summer,2011,June,14,no,monday,yes,1,0.66,0.6212,0.61,0.1045,45,130,175,14 - 15
4002,2011-06-20,summer,2011,June,15,no,monday,yes,1,0.66,0.6212,0.61,0.1343,66,139,205,15 - 16
4003,2011-06-20,summer,2011,June,16,no,monday,yes,1,0.7,0.6515,0.58,0.1642,61,238,299,16 - 17
4004,2011-06-20,summer,2011,June,17,no,monday,yes,1,0.7,0.6515,0.54,0.0,81,484,565,17 - 18
4005,2011-06-20,summer,2011,June,18,no,monday,yes,1,0.7,0.6515,0.61,0.2537,64,474,538,18 - 19
4006,2011-06-20,summer,2011,June,19,no,monday,yes,1,0.66,0.6212,0.65,0.2239,62,369,431,19 - 20
4007,2011-06-20,summer,2011,June,20,no,monday,yes,1,0.66,0.6212,0.69,0.2239,52,264,316,20 - 21
4008,2011-06-20,summer,2011,June,21,no,monday,yes,1,0.64,0.6061,0.73,0.1642,39,167,206,21 - 22
4009,2011-06-20,summer,2011,June,22,no,monday,yes,2,0.64,0.6061,0.73,0.2239,24,106,130,22 - 23
4010,2011-06-20,summer,2011,June,23,no,monday,yes,1,0.62,0.5909,0.78,0.2537,10,50,60,23 - 24
4011,2011-06-21,fall,2011,June,0,no,tuesday,yes,1,0.62,0.5909,0.78,0.1642,10,23,33,0 - 1
4012,2011-06-21,fall,2011,June,1,no,tuesday,yes,3,0.62,0.5909,0.78,0.1642,2,12,14,1 - 2
4013,2011-06-21,fall,2011,June,2,no,tuesday,yes,3,0.62,0.5758,0.83,0.1642,1,5,6,2 - 3
4014,2011-06-21,fall,2011,June,3,no,tuesday,yes,3,0.62,0.5758,0.83,0.1642,0,2,2,3 - 4
4015,2011-06-21,fall,2011,June,4,no,tuesday,yes,2,0.6,0.5455,0.88,0.1045,2,7,9,4 - 5
4016,2011-06-21,fall,2011,June,5,no,tuesday,yes,2,0.6,0.5455,0.88,0.1343,3,22,25,5 - 6
4017,2011-06-21,fall,2011,June,6,no,tuesday,yes,2,0.6,0.5455,0.88,0.1343,8,107,115,6 - 7
4018,2011-06-21,fall,2011,June,7,no,tuesday,yes,2,0.6,0.5152,0.94,0.0,21,288,309,7 - 8
4019,2011-06-21,fall,2011,June,8,no,tuesday,yes,2,0.62,0.5606,0.88,0.1045,33,368,401,8 - 9
4020,2011-06-21,fall,2011,June,9,no,tuesday,yes,2,0.62,0.5606,0.88,0.2537,32,243,275,9 - 10
4021,2011-06-21,fall,2011,June,10,no,tuesday,yes,2,0.64,0.5758,0.83,0.194,41,120,161,10 - 11
4022,2011-06-21,fall,2011,June,11,no,tuesday,yes,1,0.66,0.6061,0.83,0.1642,52,119,171,11 - 12
4023,2011-06-21,fall,2011,June,12,no,tuesday,yes,1,0.7,0.6667,0.74,0.1642,40,149,189,12 - 13
4024,2011-06-21,fall,2011,June,13,no,tuesday,yes,1,0.74,0.697,0.66,0.1642,49,158,207,13 - 14
4025,2011-06-21,fall,2011,June,14,no,tuesday,yes,1,0.76,0.7121,0.62,0.2239,44,108,152,14 - 15
4026,2011-06-21,fall,2011,June,15,no,tuesday,yes,1,0.78,0.7424,0.59,0.2537,42,128,170,15 - 16
4027,2011-06-21,fall,2011,June,16,no,tuesday,yes,1,0.8,0.7727,0.59,0.2239,62,273,335,16 - 17
4028,2011-06-21,fall,2011,June,17,no,tuesday,yes,1,0.78,0.7576,0.66,0.2239,65,507,572,17 - 18
4029,2011-06-21,fall,2011,June,18,no,tuesday,yes,2,0.76,0.7273,0.7,0.2537,67,469,536,18 - 19
4030,2011-06-21,fall,2011,June,19,no,tuesday,yes,2,0.74,0.7121,0.74,0.2239,67,358,425,19 - 20
4031,2011-06-21,fall,2011,June,20,no,tuesday,yes,3,0.74,0.697,0.7,0.2239,72,254,326,20 - 21
4032,2011-06-21,fall,2011,June,21,no,tuesday,yes,1,0.72,0.697,0.74,0.194,38,191,229,21 - 22
4033,2011-06-21,fall,2011,June,22,no,tuesday,yes,1,0.7,0.6667,0.79,0.1045,12,97,109,22 - 23
4034,2011-06-21,fall,2011,June,23,no,tuesday,yes,1,0.7,0.6667,0.74,0.1045,11,53,64,23 - 24
4035,2011-06-22,fall,2011,June,0,no,wednesday,yes,1,0.66,0.6061,0.78,0.194,15,18,33,0 - 1
4036,2011-06-22,fall,2011,June,1,no,wednesday,yes,1,0.66,0.6061,0.78,0.1343,2,19,21,1 - 2
4037,2011-06-22,fall,2011,June,2,no,wednesday,yes,1,0.66,0.6061,0.78,0.0,2,5,7,2 - 3
4038,2011-06-22,fall,2011,June,3,no,wednesday,yes,1,0.66,0.6061,0.78,0.1343,0,7,7,3 - 4
4039,2011-06-22,fall,2011,June,4,no,wednesday,yes,1,0.64,0.5758,0.83,0.0,3,8,11,4 - 5
4040,2011-06-22,fall,2011,June,5,no,wednesday,yes,1,0.64,0.5758,0.89,0.0,2,21,23,5 - 6
4041,2011-06-22,fall,2011,June,6,no,wednesday,yes,1,0.66,0.6061,0.83,0.0,12,110,122,6 - 7
4042,2011-06-22,fall,2011,June,7,no,wednesday,yes,1,0.7,0.6667,0.79,0.0,23,288,311,7 - 8
4043,2011-06-22,fall,2011,June,8,no,wednesday,yes,1,0.72,0.697,0.74,0.1045,27,396,423,8 - 9
4044,2011-06-22,fall,2011,June,9,no,wednesday,yes,1,0.72,0.697,0.79,0.1642,14,205,219,9 - 10
4045,2011-06-22,fall,2011,June,10,no,wednesday,yes,1,0.74,0.697,0.7,0.2537,31,104,135,10 - 11
4046,2011-06-22,fall,2011,June,11,no,wednesday,yes,1,0.74,0.697,0.7,0.1642,37,108,145,11 - 12
4047,2011-06-22,fall,2011,June,12,no,wednesday,yes,2,0.8,0.7727,0.59,0.2239,44,144,188,12 - 13
4048,2011-06-22,fall,2011,June,13,no,wednesday,yes,2,0.82,0.7879,0.56,0.2537,34,113,147,13 - 14
4049,2011-06-22,fall,2011,June,14,no,wednesday,yes,2,0.82,0.7727,0.52,0.2836,32,113,145,14 - 15
4050,2011-06-22,fall,2011,June,15,no,wednesday,yes,2,0.82,0.7879,0.56,0.2836,32,114,146,15 - 16
4051,2011-06-22,fall,2011,June,16,no,wednesday,yes,2,0.82,0.803,0.59,0.3284,34,224,258,16 - 17
4052,2011-06-22,fall,2011,June,17,no,wednesday,yes,2,0.8,0.7576,0.55,0.3881,67,462,529,17 - 18
4053,2011-06-22,fall,2011,June,18,no,wednesday,yes,2,0.8,0.7727,0.59,0.2537,66,447,513,18 - 19
4054,2011-06-22,fall,2011,June,19,no,wednesday,yes,2,0.8,0.7424,0.52,0.2537,62,280,342,19 - 20
4055,2011-06-22,fall,2011,June,20,no,wednesday,yes,1,0.74,0.7121,0.74,0.1343,52,230,282,20 - 21
4056,2011-06-22,fall,2011,June,21,no,wednesday,yes,1,0.74,0.7121,0.79,0.1642,31,216,247,21 - 22
4057,2011-06-22,fall,2011,June,22,no,wednesday,yes,2,0.72,0.697,0.79,0.194,25,123,148,22 - 23
4058,2011-06-22,fall,2011,June,23,no,wednesday,yes,2,0.72,0.697,0.79,0.2239,14,91,105,23 - 24
4059,2011-06-23,fall,2011,June,0,no,thursday,yes,1,0.72,0.697,0.79,0.2239,5,44,49,0 - 1
4060,2011-06-23,fall,2011,June,1,no,thursday,yes,1,0.72,0.697,0.74,0.2239,5,26,31,1 - 2
4061,2011-06-23,fall,2011,June,2,no,thursday,yes,1,0.72,0.697,0.74,0.2239,0,4,4,2 - 3
4062,2011-06-23,fall,2011,June,3,no,thursday,yes,2,0.72,0.697,0.74,0.1642,1,4,5,3 - 4
4063,2011-06-23,fall,2011,June,4,no,thursday,yes,2,0.7,0.6667,0.79,0.1343,0,7,7,4 - 5
4064,2011-06-23,fall,2011,June,5,no,thursday,yes,1,0.72,0.697,0.74,0.1642,2,22,24,5 - 6
4065,2011-06-23,fall,2011,June,6,no,thursday,yes,1,0.72,0.697,0.74,0.1642,8,92,100,6 - 7
4066,2011-06-23,fall,2011,June,7,no,thursday,yes,2,0.72,0.697,0.74,0.1343,26,301,327,7 - 8
4067,2011-06-23,fall,2011,June,8,no,thursday,yes,2,0.74,0.697,0.7,0.194,20,412,432,8 - 9
4068,2011-06-23,fall,2011,June,9,no,thursday,yes,2,0.74,0.697,0.7,0.1343,33,194,227,9 - 10
4069,2011-06-23,fall,2011,June,10,no,thursday,yes,2,0.76,0.7273,0.66,0.1343,39,88,127,10 - 11
4070,2011-06-23,fall,2011,June,11,no,thursday,yes,3,0.76,0.7273,0.66,0.2537,28,108,136,11 - 12
4071,2011-06-23,fall,2011,June,12,no,thursday,yes,2,0.76,0.7273,0.66,0.2836,30,130,160,12 - 13
4072,2011-06-23,fall,2011,June,13,no,thursday,yes,2,0.76,0.7121,0.62,0.2836,37,149,186,13 - 14
4073,2011-06-23,fall,2011,June,14,no,thursday,yes,2,0.76,0.7273,0.66,0.2985,46,103,149,14 - 15
4074,2011-06-23,fall,2011,June,15,no,thursday,yes,2,0.76,0.697,0.52,0.3582,62,127,189,15 - 16
4075,2011-06-23,fall,2011,June,16,no,thursday,yes,2,0.74,0.6818,0.62,0.2985,58,217,275,16 - 17
4076,2011-06-23,fall,2011,June,17,no,thursday,yes,2,0.72,0.6818,0.7,0.3582,74,495,569,17 - 18
4077,2011-06-23,fall,2011,June,18,no,thursday,yes,1,0.72,0.6818,0.7,0.4179,57,483,540,18 - 19
4078,2011-06-23,fall,2011,June,19,no,thursday,yes,1,0.72,0.6818,0.7,0.3582,56,344,400,19 - 20
4079,2011-06-23,fall,2011,June,20,no,thursday,yes,1,0.7,0.6667,0.74,0.2239,75,277,352,20 - 21
4080,2011-06-23,fall,2011,June,21,no,thursday,yes,1,0.7,0.6667,0.74,0.194,46,188,234,21 - 22
4081,2011-06-23,fall,2011,June,22,no,thursday,yes,2,0.7,0.6667,0.74,0.2239,23,139,162,22 - 23
4082,2011-06-23,fall,2011,June,23,no,thursday,yes,1,0.7,0.6667,0.74,0.2836,15,90,105,23 - 24
4083,2011-06-24,fall,2011,June,0,no,friday,yes,1,0.68,0.6364,0.79,0.194,10,53,63,0 - 1
4084,2011-06-24,fall,2011,June,1,no,friday,yes,1,0.66,0.6061,0.83,0.3284,8,20,28,1 - 2
4085,2011-06-24,fall,2011,June,2,no,friday,yes,1,0.66,0.6061,0.83,0.3284,4,10,14,2 - 3
4086,2011-06-24,fall,2011,June,3,no,friday,yes,1,0.66,0.6061,0.83,0.1642,1,4,5,3 - 4
4087,2011-06-24,fall,2011,June,4,no,friday,yes,1,0.66,0.6061,0.83,0.0896,1,8,9,4 - 5
4088,2011-06-24,fall,2011,June,5,no,friday,yes,1,0.64,0.5758,0.89,0.0896,2,18,20,5 - 6
4089,2011-06-24,fall,2011,June,6,no,friday,yes,1,0.66,0.6061,0.83,0.1343,4,87,91,6 - 7
4090,2011-06-24,fall,2011,June,7,no,friday,yes,2,0.66,0.6061,0.83,0.2239,21,247,268,7 - 8
4091,2011-06-24,fall,2011,June,8,no,friday,yes,1,0.7,0.6667,0.74,0.2239,27,439,466,8 - 9
4092,2011-06-24,fall,2011,June,9,no,friday,yes,1,0.74,0.6818,0.62,0.1343,28,203,231,9 - 10
4093,2011-06-24,fall,2011,June,10,no,friday,yes,1,0.8,0.7273,0.43,0.2836,43,102,145,10 - 11
4094,2011-06-24,fall,2011,June,11,no,friday,yes,1,0.8,0.7121,0.38,0.3284,56,147,203,11 - 12
